X,Y,InnerRegion,MainCluster,SubCluster
48.68738104044648,70.12053840759246,1,0,0
48.54142621212394,58.642863509147794,1,0,1
56.040293080106075,79.44858412520834,1,0,2
60.98684425042275,72.00933067611572,1,0,3
48.17747052139928,81.40825596232222,1,0,4
56.479537542013055,61.999397198343736,1,0,5
74.78457567665221,156.469996535994,1,1,0
77.54516555225973,137.98679850330643,1,1,1
86.36195092204915,148.6941424911166,1,1,2
71.24153481353666,146.38596684447623,1,1,3
88.64189818629234,138.1272628298102,1,1,4
87.30160254552133,159.10421760259425,1,1,5
77.89909244796904,78.33591088726942,1,2,0
75.62875075353787,98.16944946254719,1,2,1
68.93027702513587,79.6701601394357,1,2,2
78.52566638383873,88.241161973705,1,2,3
68.7881155092349,92.0908527014536,1,2,4
62.425630824153586,86.32999501373578,1,2,5
73.62382368191788,181.3376263453646,1,3,0
87.05323736306475,178.66806833030446,1,3,1
60.87441620008489,179.20158479811352,1,3,2
87.10474232927761,189.34280082746625,1,3,3
67.10178092968798,169.2503369311727,1,3,4
76.90339174780699,168.6856649853192,1,3,5
49.17544857132116,133.98152266514336,1,4,0
62.66564922222074,137.7349752219494,1,4,1
57.39675896294854,129.1986357146277,1,4,2
49.87280237247715,121.71039982911144,1,4,3
61.33937690414457,119.87221838566607,1,4,4
68.0056775554407,128.7186254078754,1,4,5
58.10925398376986,147.30627471750768,1,5,0
57.96911402478042,165.2991765767391,1,5,1
47.61801215327026,145.22498401024114,1,5,2
62.801440390062076,156.93154224729474,1,5,3
49.329482681970276,159.0087056854021,1,5,4
38.61467985231001,149.4445492878695,1,5,5
69.61642622931312,67.49125181705574,1,6,0
76.64240642278597,59.757266950660856,1,6,1
70.02140704986103,50.91700926682702,1,6,2
78.1577378910619,68.90939351503513,1,6,3
78.054661545423,50.11593172312422,1,6,4
63.968046608133264,58.1793479855219,1,6,5
65.13507173211484,106.57843361848795,1,7,0
59.38934304125684,97.7622664084796,1,7,1
48.40628712405032,111.03549011180729,1,7,2
49.11599486423622,100.37310727331472,1,7,3
50.87285911378906,90.72565254686637,1,7,4
56.953051012524625,109.89877135942075,1,7,5
88.61772811688942,127.85140120927319,1,8,0
78.05575824739226,106.78145211430609,1,8,1
89.41896546799668,109.3006891564642,1,8,2
77.23506003712868,126.11364690147171,1,8,3
85.75807199094949,118.04686494177514,1,8,4
72.28023799074354,115.31193949057335,1,8,5
58.63710280229418,47.4249143212889,1,9,0
58.8413056974531,32.013923195040626,1,9,1
67.26471491189899,30.138040644603414,1,9,2
66.93046035377267,41.349588410475285,1,9,3
49.05033922110941,39.33051569830801,1,9,4
49.07552589659494,49.625565170717344,1,9,5
137.14060258024367,170.4099231401365,2,0,0
145.92082621350968,169.66093889917786,2,0,1
140.56496905472795,181.34567645380244,2,0,2
137.56462364518356,157.92387964930538,2,0,3
157.56107055570615,164.7933320958009,2,0,4
148.12002079175062,160.16971839743806,2,0,5
166.96551246270138,81.06030604019332,2,1,0
149.03993151022135,95.51969486253037,2,1,1
155.34031999657918,102.61257899769512,2,1,2
154.1825959140303,82.5157388723157,2,1,3
160.82865110190895,91.32017214959225,2,1,4
168.0746140238128,97.64394312489766,2,1,5
146.3292535333105,30.650398917324328,2,2,0
158.3336702065497,31.047917126369978,2,2,1
168.02302334322874,31.60354074891495,2,2,2
153.08111176081508,41.048532923718085,2,2,3
165.7696316309329,42.09159688439862,2,2,4
153.0389315069864,22.056883514471217,2,2,5
157.68823186831276,138.13385478252908,2,3,0
147.97304984200184,147.94751310345072,2,3,1
147.9060322052853,134.29885622320174,2,3,2
138.19970643111375,144.2521740498399,2,3,3
157.576662788356,152.57673013282613,2,3,4
167.41118760443482,142.9091399357076,2,3,5
129.60780625863242,85.29488284253644,2,4,0
127.61527895509867,96.06558323715481,2,4,1
139.43554673969913,73.18334649062363,2,4,2
128.1714590335502,73.54329968837627,2,4,3
142.40018440558524,83.39945223982612,2,4,4
138.54170160364092,95.60926211593369,2,4,5
144.21889063904774,115.11335004998296,2,5,0
129.37430229324053,133.40320476644277,2,5,1
128.12018232349737,107.96480593630723,2,5,2
129.1328139360252,120.55655233060617,2,5,3
141.7521840417546,126.60462000058145,2,5,4
138.88874223789153,107.42461839604437,2,5,5
138.13068772943598,50.045513233581524,2,6,0
128.58863249546795,40.83433006282535,2,6,1
141.82965466389712,42.0087150516397,2,6,2
127.03761309875946,53.949812930319396,2,6,3
136.55311220856132,31.998516001680482,2,6,4
135.74988325077962,59.034630036929016,2,6,5
167.58217507437894,120.85324460522233,2,7,0
155.83322319335633,112.50292612034187,2,7,1
156.53721549182166,123.27779381414535,2,7,2
177.8940367910059,120.62030561030939,2,7,3
167.28934750703306,131.31368439086415,2,7,4
167.04151225302087,109.73945044111944,2,7,5
144.87373950802046,65.70662004898037,2,8,0
156.2071524482492,50.79936441855884,2,8,1
157.43903655912806,61.97946944429449,2,8,2
167.2074324851908,54.36207740570275,2,8,3
155.07807007538864,71.75829035979639,2,8,4
148.22990157319364,56.35299540313248,2,8,5
224.52772571898583,153.45996689965162,3,0,0
215.91214561173564,129.27451737379795,3,0,1
224.70333695618368,135.87903009503438,3,0,2
226.30472901394842,127.69483964798046,3,0,3
224.47765945692922,144.50190984289932,3,0,4
235.8318895546314,129.66442452264474,3,0,5
215.55748196932944,56.81009671613162,3,1,0
225.31583485320962,59.189577696977096,3,1,1
215.5391828782102,71.8903817644759,3,1,2
225.10391117639568,69.75021784555504,3,1,3
216.74468105321472,49.572781044350755,3,1,4
216.33019518654777,64.45792852834938,3,1,5
222.77750079736393,106.02768439163482,3,2,0
226.7914862551567,117.75060392975868,3,2,1
210.51672517812406,107.25374898295964,3,2,2
216.34074636424828,118.15460284237591,3,2,3
234.7065523201674,103.8537888909796,3,2,4
235.86689292044878,116.63339723020964,3,2,5
220.8656021609962,93.8477979692124,3,3,0
210.63077720869188,83.63784579520373,3,3,1
234.4216049662199,84.47393799935728,3,3,2
223.1351657918164,80.92945828111114,3,3,3
233.08572486599505,93.42195685110633,3,3,4
209.45722633045193,96.3798814425424,3,3,5
